group,subgroup,amount,period,month
"Творчество, спорт, развлечения и отдых","деятельность библиотек, архивов, музеев и прочая деятельность в области культуры",3890388,0,Январь
"Творчество, спорт, развлечения и отдых","деятельность в области физической культуры и спорта, организации отдыха и развлечений",6375551,0,Январь
Предоставление прочих видов услуг,Предоставление прочих видов услуг,5063404,0,Январь
Справочно: рабочие и служащие,Справочно: рабочие и служащие,6587462,0,Январь
Всего,Всего,6615737,1,Февраль
"Сельское, лесное и рыбное хозяйство",Всего,4429691,1,Февраль
"Сельское, лесное и рыбное хозяйство","растениеводство и животноводство, охота и предоставление услуг в этих областях",4289384,1,Февраль
"Сельское, лесное и рыбное хозяйство",растениеводство,3965080,1,Февраль
"Сельское, лесное и рыбное хозяйство",животноводство,4416054,1,Февраль
"Сельское, лесное и рыбное хозяйство",лесоводство и лесозаготовки,5573150,1,Февраль
"Сельское, лесное и рыбное хозяйство",рыболовство и рыбоводство,4515984,1,Февраль
Промышленность,Всего,7039994,1,Февраль
Промышленность,горнодобывающая промышленность,9877665,1,Февраль
Промышленность,обрабатывающая промышленность,6964986,1,Февраль
Промышленность,"производство продуктов питания, напитков и табачных изделий",6834511,1,Февраль
Промышленность,"производство текстильных изделий, одежды, изделий из кожи и меха",5069595,1,Февраль
Промышленность,производство изделий из дерева и бумаги; полиграфическая деятельность и тиражирование   записанных носителей информации,5750015,1,Февраль
Промышленность,"производство деревянных и пробковых изделий, кроме мебели; производство изделий из соломки и материалов для плетения",5437735,1,Февраль
Промышленность,"производство целлюлозы, бумаги и изделий из бумаги",5927656,1,Февраль
Промышленность,полиграфическая деятельность и тиражирование записанных носителей информации,7374979,1,Февраль
Промышленность,производство кокса и продуктов нефтепереработки,10332645,1,Февраль
Промышленность,производство химических продуктов,11405747,1,Февраль
Промышленность,производство основных фармацевтических продуктов и фармацевтических препаратов,8413044,1,Февраль
Промышленность,"производство резиновых и пластмассовых изделий, прочих неметаллических минеральных продуктов",6454394,1,Февраль
Промышленность,"металлургическое производство. Производство готовых металлических изделий, кроме машин и оборудования",6882719,1,Февраль
Промышленность,"производство вычислительной, электронной и оптической аппаратуры",7486202,1,Февраль
Промышленность,производство электрооборудования,6685647,1,Февраль
Промышленность,"производство машин и оборудования, не включенных в другие группировки",6633050,1,Февраль
Промышленность,производство транспортных средств и оборудования,6958631,1,Февраль
Промышленность,"производство автомобилей, прицепов и полуприцепов",6712699,1,Февраль
Промышленность,производство прочих транспортных средств и оборудования,8638688,1,Февраль
Промышленность,"производство прочих готовых изделий; ремонт, монтаж машин и оборудования",7089643,1,Февраль
Промышленность,производство мебели,5751370,1,Февраль
Промышленность,"снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",7496444,1,Февраль
Промышленность,"производство, передача, распределение и продажа пара и горячей воды; кондиционирование воздуха",6073631,1,Февраль
Промышленность,"водоснабжение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",6312173,1,Февраль
Строительство,Строительство,6843747,1,Февраль
Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,Всего,6348623,1,Февраль
Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,"оптовая и розничная торговля автомобилями, мотоциклами и их ремонт",8656556,1,Февраль
Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,"оптовая торговля, за исключением торговли автомобилями и мотоциклами",8748908,1,Февраль
Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,"розничная торговля, за исключением торговли автомобилями и мотоциклами",5805272,1,Февраль
"Транспортная деятельность, складирование, почтовая и курьерская деятельность",Всего,7352649,1,Февраль
"Транспортная деятельность, складирование, почтовая и курьерская деятельность",деятельность сухопутного и трубопроводного транспорта,7582267,1,Февраль
"Транспортная деятельность, складирование, почтовая и курьерская деятельность",деятельность водного транспорта,4244748,1,Февраль
"Транспортная деятельность, складирование, почтовая и курьерская деятельность",деятельность воздушного транспорта,15673163,1,Февраль
"Транспортная деятельность, складирование, почтовая и курьерская деятельность",деятельность пассажирского воздушного транспорта,16142214,1,Февраль
"Транспортная деятельность, складирование, почтовая и курьерская деятельность",деятельность грузового воздушного транспорта,13097527,1,Февраль
"Транспортная деятельность, складирование, почтовая и курьерская деятельность",складирование и вспомогательная транспортная деятельность,6541821,1,Февраль
"Транспортная деятельность, складирование, почтовая и курьерская деятельность",вспомогательная деятельность воздушного транспорта,11557978,1,Февраль
"Транспортная деятельность, складирование, почтовая и курьерская деятельность",почтовая и курьерская деятельность,6584478,1,Февраль
Услуги по временному проживанию и питания,Всего,4985553,1,Февраль
Услуги по временному проживанию и питания,услуги по временному проживанию,5335620,1,Февраль
Услуги по временному проживанию и питания,услуги по общественному питанию,4877959,1,Февраль
Информация и связь,Всего,20150471,1,Февраль
Информация и связь,"издательская деятельность, деятельность в сфере аудио- и видеозаписи, воспроизведения и вещания",8428808,1,Февраль
Информация и связь,деятельность в области телекоммуникаций,10392359,1,Февраль
Информация и связь,информационные технологии и деятельность в области информационного обслуживания,34030613,1,Февраль
Финансовая и страховая деятельность,Всего,11322681,1,Февраль
Финансовая и страховая деятельность,"финансовые услуги, кроме страхования и дополнительного пенсионного обеспечения",11709282,1,Февраль
Финансовая и страховая деятельность,"страхование, перестрахование и дополнительное пенсионное обеспечение, кроме обязательного социального страхования",8673042,1,Февраль
Финансовая и страховая деятельность,вспомогательная деятельность в сфере финансовых услуг и страхования,17799713,1,Февраль
Операции с недвижимым имуществом,Операции с недвижимым имуществом,5296681,1,Февраль
"Профессиональная, научная и техническая деятельность",Всего,9082545,1,Февраль
"Профессиональная, научная и техническая деятельность","деятельность в области права, бухгалтерского учета, управления, архитектуры, инженерных изысканий, технических испытаний и анализа",9956638,1,Февраль
"Профессиональная, научная и техническая деятельность",деятельность головных организаций,10272223,1,Февраль
"Профессиональная, научная и техническая деятельность",научные исследования и разработки,8583514,1,Февраль
"Профессиональная, научная и техническая деятельность","другая профессиональная, научная и техническая деятельность",6708118,1,Февраль
Деятельность в сфере административных и вспомогательных услуг,Всего,5039942,1,Февраль
Деятельность в сфере административных и вспомогательных услуг,туристическая деятельность; услуги по бронированию и сопутствующая деятельность,4875564,1,Февраль
Образование,Образование,4999694,1,Февраль
Здравоохранение и социальные услуги,Всего,5369970,1,Февраль
Здравоохранение и социальные услуги,здравоохранение,5552792,1,Февраль
Здравоохранение и социальные услуги,деятельность по уходу в специализированных учреждениях и предоставление социальных услуг,4017349,1,Февраль
"Творчество, спорт, развлечения и отдых",Всего,5350051,1,Февраль
"Творчество, спорт, развлечения и отдых",творческая деятельность и развлечения,4437960,1,Февраль
"Творчество, спорт, развлечения и отдых","деятельность библиотек, архивов, музеев и прочая деятельность в области культуры",3953812,1,Февраль
"Творчество, спорт, развлечения и отдых","деятельность в области физической культуры и спорта, организации отдыха и развлечений",6631973,1,Февраль
Предоставление прочих видов услуг,Предоставление прочих видов услуг,5088474,1,Февраль
Справочно: рабочие и служащие,Справочно: рабочие и служащие,6652609,1,Февраль
